data,novos_casos,novas_mortes
2020-06-25,77,2
2020-04-02,0,0
2021-12-18,0,0
2020-12-02,5,0
2020-04-05,0,0
2021-02-08,0,0
2020-05-12,0,0
2021-05-20,0,0
2020-06-13,0,0
2021-08-19,0,0
2021-12-08,0,0
2020-08-15,1,0
2020-07-25,0,0
2021-07-03,0,0
2020-12-24,18,0
2021-08-29,0,0
2020-11-05,0,0
2020-09-06,0,0
2021-03-26,0,0
2021-10-02,0,0
2020-06-24,1,0
2020-01-26,,
2020-07-14,12,2
2020-09-04,150,1
2020-09-19,0,0
2020-08-28,12,0
2020-01-21,,
2020-02-28,,
2021-09-06,0,0
2020-09-04,16,1
2021-10-18,0,0
2020-11-29,0,0
2021-06-05,0,0
2021-12-27,0,0
2020-03-16,,
2020-01-05,,
2020-01-20,0,
2021-12-20,0,0
2020-01-26,2,
2020-07-22,9,1
2021-01-26,0,0
2021-05-25,0,0
2021-10-02,6,0
2021-03-13,1,1
2021-06-03,23,0
2021-05-06,0,0
2021-08-23,0,0
2020-02-03,,
2021-12-19,0,0
2021-12-04,3,0
2020-07-14,0,0
2021-05-28,0,0
2020-10-01,0,0
2021-04-07,0,0
2021-09-22,0,0
2021-12-07,0,0
2020-08-14,0,0
2020-10-13,0,0
2020-06-24,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-09-11,0,0
2021-04-13,0,0
2020-01-05,2,
2020-06-14,8,0
2020-05-18,0,0
2021-10-29,0,0
2020-01-21,,
2020-09-08,0,0
2020-04-06,0,0
2020-05-26,0,0
2021-03-16,10,0
2021-11-20,0,0
2021-08-08,0,0
2020-03-28,0,0
2021-09-14,0,0
2020-09-11,1,0
2021-05-10,0,0
2021-06-05,0,0
2021-05-11,1,0
2020-03-09,,
2020-03-19,,
2020-01-06,1,
2021-01-23,8,0
2021-10-21,0,0
2020-05-06,0,0
2021-10-07,0,0
2020-05-26,12,0
2020-05-11,0,0
2021-01-22,0,0
2020-11-14,4,0
2020-09-30,1,0
2020-11-02,0,0
2020-02-07,,
2021-12-31,0,0
2021-09-14,0,0
2021-02-01,0,0
2020-04-30,1,0
2020-03-12,,
2021-07-09,11,0
2020-03-05,,
2021-04-08,15,0
2021-07-07,-1,0
2021-12-04,0,0
2021-12-08,1,0
2021-09-13,5,0
2021-02-20,0,0
2021-07-26,0,0
2020-10-08,3,0
2021-12-06,0,0
2020-03-26,,
2020-04-21,0,0
2021-07-24,1,0
2021-04-16,0,0
2020-11-06,183,1
2020-11-30,0,0
2021-07-27,11,3
2021-09-16,2,0
2021-03-24,0,0
2020-09-29,0,0
2020-10-03,1512,14
2020-05-30,4,0
2021-03-07,5,0
2020-04-18,0,0
2021-03-19,0,0
2020-05-05,0,0
2021-08-20,2,0
2021-02-09,0,0
2021-07-12,4,0
2020-08-15,4,0
2020-01-31,,
2021-05-10,1,0
2021-12-01,0,0
2021-09-04,0,0
2020-04-30,0,0
2020-03-26,,
2021-04-12,1,0
2020-07-04,0,0
2020-03-13,,
2020-11-26,0,0
2021-09-09,0,0
2021-04-05,6,0
2020-07-26,31,1
2021-12-31,0,0
2020-06-20,0,0
2020-08-29,0,0
2021-06-01,35,0
2020-02-29,,
2021-02-07,0,0
2020-12-02,0,0
2020-02-17,,
2020-12-18,0,0
2020-05-23,3,0
2020-12-16,0,0
2020-11-25,0,0
2021-12-29,0,0
2021-04-04,0,0
2021-08-07,71,0
2021-02-12,0,0
2020-06-27,0,0
2021-11-10,0,0
2020-01-19,,
2020-12-03,1,0
2021-09-08,0,0
2020-09-21,1,0
2021-06-26,1,1
2020-12-02,0,0
2020-09-22,0,0
2021-09-18,20,1
2021-10-06,0,0
2020-06-14,0,0
2021-02-26,0,0
2021-09-12,0,0
2021-01-11,0,0
2020-12-17,0,0
2020-12-24,37,0
2020-06-17,0,0
2020-03-06,,
2021-12-31,0,0
2021-11-25,0,0
2020-04-15,0,0
2021-09-18,1,1
2021-02-14,1,0
2020-08-11,0,0
2021-07-23,2,0
2021-07-20,2,0
2021-08-01,0,0
2021-12-31,0,0
2020-04-30,0,0
2020-12-18,0,0
2020-04-16,0,0
2020-07-18,11,0
2020-09-07,0,0
2021-07-31,7,1
2020-07-06,1,0
2020-05-24,0,0
2021-02-27,7,0
2020-12-08,0,0
2020-03-28,0,0
2020-02-14,,
2021-05-27,51,0
2020-09-05,0,1
2021-03-04,0,0
2020-07-20,2,0
2020-11-15,0,0
2021-01-29,2,0
2020-05-23,0,0
2021-02-08,0,0
2020-12-19,0,0
2020-06-26,0,0
2021-07-13,0,0
2021-06-07,0,0
2021-04-14,1,0
2020-02-02,,
2020-05-07,0,0
2020-11-21,0,0
2021-08-14,0,0
2020-09-18,5,0
2021-10-07,23,0
2021-06-28,0,0
2020-06-12,4,0
2020-12-28,0,0
2020-02-11,,
2020-03-23,0,
2021-01-15,0,0
2020-08-02,0,0
2020-10-10,0,0
2020-03-27,0,0
2020-01-25,,
2020-05-09,0,0
2020-06-12,0,0
2021-07-05,0,0
2020-02-24,,
2020-04-21,0,0
2021-07-09,8,0
2020-02-05,,
2020-05-30,0,0
2020-07-19,0,0
2021-05-27,152,2
2021-05-06,4,0
2021-05-05,0,0
2020-01-08,,
2020-11-06,0,0
2021-08-07,1,0
2020-02-10,,
2020-09-10,0,0
2020-12-01,0,0
2020-03-17,,
2021-10-19,2,0
2021-11-28,0,0
2021-08-05,0,0
2020-04-10,0,0
2021-09-29,4,0
2020-08-21,-2,0
2020-11-02,0,0
2021-12-16,0,0
2020-11-14,2,0
2020-03-22,,
2021-02-21,0,0
2021-09-02,7,0
2020-11-03,0,0
2020-05-19,0,0
2021-12-29,0,0
2021-01-11,0,0
2021-02-26,0,0
2020-06-22,0,0
2021-06-14,0,0
2021-04-09,1,
2020-04-12,0,0
2021-04-02,0,0
2020-05-22,0,0
2021-01-12,0,0
2020-09-22,0,0
2020-04-22,0,0
2020-12-07,1,0
2021-08-09,0,0
2020-01-20,,
2020-09-26,31,0
2021-08-15,0,0
2021-06-07,0,0
2020-05-14,0,0
2021-02-03,1,0
2020-03-21,,
2020-03-16,,
2020-07-29,0,0
2020-06-08,0,0
2020-07-05,1,1
2020-03-04,,
2021-03-11,0,0
2020-10-19,8,0
2021-12-04,0,0
2021-02-26,3,0
2020-05-02,0,0
2020-09-29,0,0
2021-10-02,0,0
2020-09-19,3,0
2021-06-13,0,0
2020-05-14,0,0
2021-05-31,0,0
2021-04-13,10,0
2021-07-17,68,2
2021-04-07,2,0
2021-02-07,0,0
2021-10-08,0,0
2020-09-13,2,1
2021-04-21,0,0
2020-11-30,1,0
2020-02-09,,
2020-12-19,25,0
2020-06-15,0,0
2020-04-28,-1,0
2020-01-25,,
2021-08-14,0,0
2020-11-25,0,0
2021-05-28,-1,0
2020-08-30,0,0
2021-07-12,4,0
2020-02-25,,
2021-09-23,0,0
2021-12-01,0,0
2020-12-08,1,0
2020-04-06,0,0
2021-07-20,1,0
2020-01-05,,
2021-07-26,-3,0
2020-01-13,,
2020-12-07,0,0
2020-07-29,2,0
2021-01-12,0,0
2020-08-24,1,0
2020-03-22,,
2020-12-14,0,0
2020-04-04,0,0
2021-08-17,0,0
2020-09-02,2,0
2020-07-07,24,1
2021-04-27,0,0
2021-06-21,0,0
2020-08-27,5,0
2020-08-19,4,0
2021-07-13,1,0
2021-02-14,0,0
2020-01-03,,
2021-04-11,0,0
2021-02-17,88,1
2021-04-10,0,0
2020-07-02,3,1
2021-08-20,0,0
2020-01-07,,
2020-09-27,0,0
2020-12-04,0,0
2021-01-06,2,0
2020-03-05,0,
2020-12-06,0,0
2020-01-18,,
2021-02-19,17,0
2021-11-08,0,0
2021-01-21,5,0
2021-09-29,-2,0
2021-05-09,14,0
2020-10-23,0,0
2021-07-26,0,0
2021-06-16,54,0
2020-06-01,1,0
2021-05-31,71,0
2021-04-12,0,0
2021-06-12,37,1
2021-06-05,0,0
2021-11-21,0,0
2020-10-29,8,0
2020-02-02,,
2021-02-16,16,0
2021-12-03,0,0
2020-01-16,,
2020-12-01,14,1
2021-09-21,2,0
2020-05-18,0,0
2021-10-05,7,0
2021-09-15,0,0
2021-04-28,0,0
2020-02-28,,
2020-04-24,0,0
2021-04-15,3,1
2021-08-05,3,0
2021-12-24,0,0
2020-09-14,0,0
2020-10-06,0,0
2021-02-02,6,1
2021-08-24,38,1
2021-05-12,0,0
2021-05-23,0,0
2020-05-10,0,0
2020-12-14,0,0
2021-03-04,1,0
2020-09-19,0,1
2020-06-15,0,0
2020-10-27,0,0
2020-12-02,0,0
2020-08-22,0,0
2021-01-22,0,0
2020-05-22,0,0
2021-10-17,0,0
2020-03-06,,
2021-01-19,27,0
2020-07-09,12,0
2020-07-04,10,0
2020-07-20,1,0
2021-06-14,0,0
2021-07-23,2,0
2020-08-21,0,0
2021-12-14,0,0
2020-08-26,1,0
2020-03-03,,
2021-12-14,0,0
2021-08-31,0,0
2021-02-17,0,0
2020-05-02,0,1
2021-01-20,1,0
2021-12-08,0,0
2020-03-20,,
2020-04-30,0,0
2020-09-22,29,0
2021-07-25,0,0
2021-04-07,0,0
2020-11-05,1,0
2021-04-08,9,0
2021-02-08,1,0
2021-05-31,12,0
2021-10-05,0,0
2021-10-14,1,0
2020-05-18,0,0
2021-02-20,0,0
2020-03-09,,
2021-11-23,0,0
2020-12-03,1,0
2021-06-21,0,0
2021-08-15,0,0
2020-03-18,,
2020-01-16,,
2021-09-02,0,0
2020-10-06,22,1
2021-11-07,0,0
2021-11-03,0,0
2021-08-20,0,0
2020-01-20,1,
2021-09-13,5,0
2020-06-04,0,0
2020-08-15,0,0
2020-07-19,0,0
2021-01-01,0,0
2020-04-02,0,0
2020-07-26,4,0
2020-08-25,4,0
2021-04-01,28,1
2020-04-27,0,0
2020-06-23,0,0
2021-11-13,0,0
2021-09-05,5,0
2021-03-27,3,1
2021-03-26,0,0
2020-09-21,0,0
2020-04-21,0,0
2021-08-20,19,1
2021-01-13,3,0
2020-07-14,0,0
2021-10-06,0,0
2021-03-04,49,0
2020-12-29,0,0
2020-09-10,0,0
2020-08-09,0,0
2020-08-18,1,0
2020-01-17,,
2021-07-27,43,0
2021-04-26,0,0
2020-01-26,,
2020-07-18,66,5
2020-02-07,,
2020-05-03,0,0
2020-08-26,2,0
2020-09-09,0,0
2020-07-08,2,0
2021-09-29,0,0
2021-06-11,26,1
2021-10-01,0,0
2020-05-17,1,0
2021-04-12,0,0
2021-06-12,0,0
2021-07-25,0,0
2020-09-14,1,0
2021-10-28,2,0
2021-09-30,0,0
2020-11-26,0,0
2021-12-24,0,0
2021-08-11,0,0
2020-05-05,0,0
2021-03-12,2,0
2020-01-06,,
2021-04-20,4850,129
2021-03-20,1,0
2020-09-19,0,0
2020-10-16,546,9
2021-10-02,0,0
2021-09-09,0,0
2021-12-30,11,0
2021-04-18,8,0
2020-03-01,,
2021-09-20,10,1
2020-09-08,0,0
2020-05-09,0,0
2020-06-08,0,0
2021-07-12,0,0
2020-03-04,,
2020-05-19,0,0
2021-02-15,0,0
2021-01-13,-6,0
2021-06-29,6,0
2021-07-01,39,2
2021-02-20,0,0
2020-11-24,0,0
2020-07-18,9,0
2021-01-13,10,0
2020-01-13,,
2021-08-29,6,0
2021-09-08,1,0
2020-09-12,0,0
2021-10-14,1,0
2020-01-13,,
2020-09-21,0,0
2020-08-12,8,0
2021-09-26,0,0
2020-09-29,0,0
2021-09-14,20,0
2021-11-14,0,0
2020-12-20,0,0
2021-03-08,11,0
2020-09-24,0,0
2020-12-01,6,0
2020-10-05,1,0
2020-10-22,12,-1
2020-02-01,,
2021-02-17,574,6
2021-06-08,5,0
2020-06-24,2,0
2021-02-20,0,0
2020-10-09,0,0
2021-12-19,0,0
2020-10-08,0,0
2020-11-28,0,0
2021-09-14,0,0
2020-05-22,6,0
2020-07-23,0,0
2020-08-21,0,0
2021-10-21,2,0
2020-11-01,0,0
2020-03-22,,
2020-02-03,,
2020-05-05,0,0
2021-03-12,10,0
2021-05-23,3,0
2021-08-10,2,0
2020-10-31,3,0
2021-02-25,0,0
2020-11-26,0,0
2021-10-01,0,0
2021-11-07,16,0
2020-08-14,1,0
2020-05-21,1,0
2021-08-23,5,4
2020-08-06,0,0
2020-01-10,,
2021-10-22,0,0
2021-04-19,0,0
2020-01-13,,
2020-12-26,0,0
2021-09-28,2,0
2020-04-09,0,0
2021-08-13,0,0
2020-08-19,7,0
2020-09-16,2,0
2021-10-20,0,0
2020-09-08,0,0
2021-04-13,0,0
2021-04-07,5,0
2021-03-12,0,0
2021-11-13,0,0
2020-04-12,0,0
2021-09-22,6,0
2020-01-24,,
2020-09-02,12,0
2021-06-13,3,0
2020-08-10,8,0
2020-06-19,0,0
2021-12-03,0,0
2020-02-01,,
2021-05-23,0,0
2021-04-18,6,1
2021-07-30,0,0
2021-02-02,8,0
2021-03-03,13,0
2020-08-22,4,0
2021-03-12,57,0
2020-11-16,0,0
2020-06-28,7,0
2020-12-15,5,0
2020-01-30,,
2020-01-23,,
2021-12-12,0,0
2021-11-25,0,0
2021-11-13,-1,0
2021-02-22,49,0
2021-06-06,0,0
2020-03-27,0,0
2021-07-21,2,1
2021-04-19,-1,0
2021-05-23,0,0
2021-07-17,1,0
2021-10-04,-3,0
2021-09-08,0,0
2020-04-29,0,0
2021-01-06,0,0
2020-03-21,,
2021-10-14,2,0
2020-01-22,0,
2021-06-24,0,0
2020-11-10,42,0
2020-02-08,,
2021-07-11,0,0
2021-01-07,0,0
2020-04-28,0,0
2020-11-10,0,0
2021-10-05,0,0
2021-09-18,23,5
2021-08-09,3,0
2021-01-08,0,0
2021-11-07,0,0
2021-12-30,0,0
2020-12-31,3,0
2021-12-18,0,0
2020-07-14,6,0
2021-09-30,0,0
2020-08-25,0,0
2021-10-09,2,0
2020-03-04,,
2020-08-22,0,0
2020-05-07,0,0
2021-11-24,0,0
2020-05-20,4,0
2021-04-20,12,0
2021-07-21,0,0
2021-03-14,0,0
2021-06-05,126,0
2021-07-09,2,1
2020-02-09,,
2020-04-02,0,0
2021-09-03,0,0
2021-11-01,0,0
2021-02-22,0,0
2020-06-11,0,0
2021-09-30,0,0
2020-02-01,1,
2020-01-07,,
2021-11-28,1,0
2021-02-23,378,1
2020-11-10,4,0
2020-08-17,0,0
2021-08-03,1,0
2020-03-02,,
2021-01-22,0,0
2021-12-27,0,0
2021-09-02,3,0
2021-02-11,4,0
2020-11-14,15,0
2020-01-01,,
2021-03-02,0,0
2020-05-24,0,0
2020-03-16,,
2020-01-06,,
2021-08-11,0,0
2020-11-20,0,0
2020-01-10,,
2021-08-19,1,0
2020-01-24,,
2020-04-20,0,0
2021-10-30,7,0
2021-01-04,0,0
2021-02-05,0,0
2021-02-02,1,0
2021-03-09,3,0
2020-12-08,8,1
2021-04-11,22,1
2021-02-07,0,0
2021-06-30,1,0
2020-09-07,0,0
2021-02-11,5,0
2021-03-30,1,0
2020-04-04,0,0
2021-07-28,0,0
2021-11-05,0,0
2021-02-04,1,0
2021-06-15,3,0
2020-06-04,0,0
2020-10-01,0,0
2020-06-29,-1,0
2021-08-12,1,0
2021-06-23,0,2
2021-12-18,0,0
2020-05-29,0,0
2020-07-04,0,0
2021-03-30,1,0
2020-08-25,8,0
2021-05-12,0,0
2021-06-28,0,0
2020-10-10,0,0
2021-03-11,20,0
2021-07-11,0,1
2021-09-16,64,0
2020-01-28,,
2020-07-02,0,0
2021-01-04,1,0
2020-06-04,0,0
2021-05-06,5,0
2021-03-07,1,0
2021-03-24,1,0
2021-04-23,22,0
2020-09-24,9,0
2020-07-29,0,0
2020-05-15,26,0
2021-10-03,0,0
2020-02-11,,
2021-11-01,0,0
2021-08-28,4,0
2020-12-03,1,0
2020-04-22,2,0
2020-12-28,0,0
2021-06-19,21,0
2021-04-15,16,0
2021-11-06,1,0
2021-09-24,10,0
2020-01-09,,
2021-01-02,0,0
2020-04-16,0,0
2021-01-16,71,0
2020-11-11,0,0
2020-06-30,1,1
2021-09-10,0,0
2020-04-30,0,0
2020-03-24,,
2021-05-12,6,0
2021-10-21,0,0
2021-06-18,3,0
2021-05-01,-3,0
2021-03-03,5,0
2020-01-12,,
2020-03-15,,
2021-09-14,0,0
2020-03-03,,
2020-11-17,2,0
2020-08-12,18,0
2021-06-08,34,1
2021-08-20,1,0
2021-11-06,0,0
2021-11-29,0,0
2020-02-20,,
2021-02-03,0,0
2020-02-20,,
2021-07-28,12,0
2020-11-30,0,0
2020-03-07,,
2021-02-14,3,1
2021-08-27,19,0
2021-05-31,21,0
2021-03-21,8,0
2020-09-09,59,1
2021-08-07,0,0
2021-10-13,0,0
2020-07-23,3,0
2020-06-20,0,0
2020-07-15,0,0
2020-05-04,0,0
2021-01-26,0,0
2020-05-07,2,0
2021-07-14,7,0
2021-05-27,135,1
2021-03-14,0,0
2020-07-19,0,0
2021-07-10,3,0
2021-10-19,0,0
2021-08-13,0,0
2021-05-31,1,0
2021-07-26,4,0
2021-04-21,1,0
2020-10-25,0,0
2020-07-30,6,0
2021-08-08,0,0
2020-02-03,,
2021-04-23,2,0
2021-11-18,223,1
2021-09-28,0,1
2020-07-09,-1,0
2020-02-03,,
2021-10-24,0,0
2021-11-21,0,0
2021-02-25,4,0
2021-06-25,8,0
2020-08-23,1,0
2020-04-25,0,0
2020-02-20,,
2021-03-06,0,0
2020-08-30,0,0
2020-08-16,0,0
2020-11-22,0,0
2020-12-03,2,3
2021-05-24,273,5
2021-08-11,0,0
2021-05-28,0,0
2020-01-03,,
2021-08-30,0,0
2020-10-14,11,0
2021-07-11,0,0
2021-11-07,0,0
2020-12-08,0,0
2021-10-30,0,0
2021-01-18,0,0
2021-03-22,9,0
2021-03-22,0,0
2021-12-19,0,0
2021-09-13,0,0
2021-02-14,0,0
2021-08-03,4,3
2021-05-19,12,0
2020-12-19,0,0
2021-12-24,0,0
2020-05-24,2,0
2021-12-13,0,0
2020-07-20,1,0
2021-02-10,2,0
2020-01-20,,
2020-11-08,0,0
2020-01-07,0,
2021-06-11,0,0
2021-08-04,6,0
2021-01-13,1,0
2021-03-28,0,0
2020-10-26,0,0
2021-04-19,4,0
2021-03-10,0,0
2021-08-06,103,0
2021-07-07,0,0
2021-08-19,0,0
2021-09-07,2,0
2020-11-26,0,0
2021-08-18,2,0
2021-01-09,0,0
2020-09-30,1,0
2021-11-28,0,0
2020-09-29,19,2
2020-03-04,,
2020-08-23,10,0
2020-04-29,0,0
2021-01-06,15,0
2020-06-27,10,0
2020-02-08,,
2020-11-04,154,0
2021-09-22,1,0
2020-03-18,,
2021-03-29,24,0
2021-04-24,8,0
2020-05-15,0,0
2020-10-16,0,0
2020-08-30,2,0
2021-05-29,2,0
2021-02-23,6275,137
2020-04-16,0,0
2020-07-30,0,0
2021-12-24,0,0
2020-03-31,0,0
2021-10-09,0,0
2020-03-04,,
2020-08-31,0,0
2021-09-07,0,0
2020-08-09,0,0
2020-02-22,,
2020-05-16,0,0
2020-01-13,6,
2021-01-05,0,0
2021-10-27,1,0
2020-06-14,0,0
2020-10-27,2,0
2020-04-15,,
2021-12-28,0,0
2020-03-05,,
2021-05-06,4,0
2021-03-07,1,0
2020-03-13,,
2020-05-07,1,0
2020-03-06,,
2020-10-27,10,1
2020-12-08,1,0
2021-08-07,20,0
2020-02-02,,
2021-02-26,0,0
2020-08-23,3,0
2020-10-19,-1,0
2020-05-15,0,0
2021-01-21,4,1
2021-04-28,0,0
2021-10-21,0,0
2021-05-26,45,1
2020-03-20,,
2020-05-17,9,0
2020-10-05,0,0
2020-06-09,0,0
2020-06-09,0,0
2021-07-25,1,0
2021-04-29,4474,216
2021-06-18,0,0
2021-01-24,0,0
2020-11-26,1,0
2021-12-25,0,0
2020-09-15,2,0
2021-09-29,0,0
2021-09-08,0,0
2021-08-29,0,0
2020-06-20,0,0
2020-02-07,,
2021-10-15,0,0
2020-05-31,3,0
2021-02-27,2,0
2020-03-19,,
2020-12-22,2688,30
2020-10-02,3,0
2020-05-15,0,0
2020-01-05,,
2020-05-16,0,0
2020-09-22,11,0
2020-09-13,0,0
2021-12-22,0,0
2021-04-21,3,0
2020-03-05,,
2021-10-17,0,0
2020-07-02,1,0
2021-04-16,1,0
2021-07-19,0,0
2021-02-19,1,0
2020-05-16,0,0
2021-06-28,0,0
2021-09-25,0,0
2021-02-23,19,0
2020-02-16,,
2021-02-18,100,1
2021-06-06,0,0
2021-01-11,3,0
2020-10-24,0,0
2020-04-06,0,0
2020-01-20,,
2020-10-08,0,0
2020-03-03,,
2021-03-29,0,1
2020-02-05,,
2021-08-27,0,0
2021-07-14,30,0
2021-09-29,8,9
2020-04-16,0,1
2020-01-18,,
2020-07-22,2,0
2021-08-05,0,0
2020-04-01,0,0
2020-03-11,,
2020-02-18,,
2020-08-04,0,0
2021-07-25,0,0
2020-10-10,0,0
2021-09-09,0,0
2021-08-18,0,0
2020-06-03,6,1
2020-08-30,0,0
2020-05-16,0,0
2021-07-21,2,0
2021-06-16,6,0
2020-10-29,0,0
2020-01-11,,
2020-08-20,1,0
2020-07-15,0,0
2020-04-05,0,0
2021-10-22,2,0
2021-08-16,0,0
2020-03-23,,
2020-05-26,0,0
2021-04-30,0,0
2021-09-04,0,0
2021-05-02,0,0
2020-02-04,,
2020-06-23,0,0
2021-12-08,4,1
2020-11-16,0,0
2020-08-19,0,0
2020-10-10,,
2020-05-23,0,0
2020-05-15,0,0
2021-02-17,3,0
2020-05-24,0,0
